topik,keyword,tweet,gambar,url,label
,,"hati hati dengan chemtrail, asap yg dikeluarkan pesawat untuk penyebaran virus ,,",,https://twitter.com/yudhistiroagung/status/88798460278616064?s=20,1
coklat,coklat dapat menaikkan mood,Coklat terbukti bisa menaikkan mood kak hehe,,https://twitter.com/ExCommunicad/status/1248969211054968834,1
Tidur malam,Efek tidur larut malam,Efek tidur larut malam kek gini -___- jam segini baru bangun :D wkwkwk,,https://twitter.com/a_away/status/461301980925685760,1
,,"kurang ajar trnyata kopi luak white koffie mengandung babi,,:p :p",,https://twitter.com/sayyidalydrus17/status/321546597425106944,1
tangan berkeringat,tangan berkeringat tanda jantung lemah,Telapak Tangan Berkeringat Tanda Lemah Jantung?: Telapak tangan yang berkeringat bisa disebabkan apabila ia cemas. http://bit.ly/1sstIwM,,https://twitter.com/newskabarberita/status/521298499652972544,0
gadis,gadis ular gemparkan thailand,BIAR BETUL!! Gadis Ular Ini Gemparkan Penduduk Thailand... #update #viral http://fb.me/3ZFRcd793,,https://twitter.com/fbgilerkentang/status/644333766769438720?s=20,1
gajah ,gajah berkaki lima,Menarik! Gajah berkaki Lima! https://instagram.com/reel/COHsn4YBI6i/?igshid=16xkus9xw26ya,,https://twitter.com/ajimajis_/status/1386617673803440129?s=20,1
,,"Selama memakai (maaf) pembalut & tidak merasa risih, berenang saat #menstruasi boleh saja dilakukan. Hal ini tdk berpengaruh pada kesehatan.",,https://twitter.com/YOTMalang/status/454610623960068096,1
yogurt,yogurt bagus untuk diet,"yogurt cimory original ini bagus untuk diet nggak sih? aku makannya sih per 100 ml aja jadi cuma 100 kalori per 1x konsumsi. tapi rasanya menurutku manis, jd takutnya tinggi lemak atau gmn. udah baca informasi gizi tp kurang paham. infonya dong guis makasiihh",,https://twitter.com/FFOODFESS/status/1300979086899081216,1
Indosat,Indosat dijual megawati,"Presiden Jokowi, Mana Janjimu Beli Kembali Indosat yang Dulu Dijual Megawati? http://goo.gl/PNfDWb",,https://twitter.com/KompasTV/status/560686799907872768,1
Uap panas,Menghirup uap panas membunuh virus,"KETUA SATGAS COVID-19, DWIYONO : MENGHIRUP UAP AIR PANAS BISA BUNUH VIRUS CORONA Beradar pesan berantai, Ketua Satgas Covid, Dwiyono mengatakan, menghirup uap air panas dpt membunuh virus corona. Info tsb tdk benar. Lengkapnya di: https://bit.ly/3bYxIlt #Mneghirupudara #JSH",,https://twitter.com/jabarsaberhoaks/status/1398443978614358023?s=20,1
Buah nanas,Manfaat buah nanas,"Buah naga memiliki berbagai nutrisi yang baik bagi kesehatan tubuh lho, Sahabat. Beberapa manfaat buah naga untuk kesehatan, seperti:

1. Meningkatkan fungsi kekebalan tubuh
2. Membantu menurunkan risiko diabetes.

(1/2)",,https://twitter.com/BPJSKesehatanRI/status/1233587688910909440,0
vaksin,mahfud MD setor obat sembuhkan covid-19 hasil bertapa 40 hari,Ini 1 contoh dari ribuan hoax. Sy tak prnh lapor kpd Presiden adanya obat covid-19 hsl bertapa 40 hr. Yg benar ada orng meminta sy utk diantar menghadap Presiden krn stlh bertapa 40 hr menemukan obat vovid. Tentu sy tolak krn hal tsb pasti tak bs dipercaya,,https://twitter.com/mohmahfudmd/status/1421427797482885121,0
Resep,Resep obat pasien covid,Bukan obat buat covid yaa. Itu buat infeksi sampingan karena bakteri. Covid kan virus. Kenapa harus pake resep karena lihat dlu keadaannya. Biasanya antibiotik dipake klo ada pneumonia nya,,https://twitter.com/keaanuan_/status/1418207159574097924,0
Bawang,bawang menyerap kuman,"Ternyata diketahui saat ini, bawang merah memang bisa menyerap kuman dan bakteri di udara.",,https://twitter.com/AnangPradipta/status/276888253158785024?s=20,1
,,"RT
@halalcorner
:4.c. Penggunaan ginjal KERA,SEL KANKER MANUSIA,SERUM dr SAPI yg sembelihany tdk Islami, ENZIM BABI u/ pembuatan jenis vaksin.",,https://twitter.com/resturizki/status/138264693310636032?s=20,1
,,"bener ya, makan banyak rambutan bisa bikin batuk ",,https://twitter.com/onyeollie/status/1419512762527481858,1
pembalut,pembalut mengandung pemutih berbahaya,Waspada Peredaran Pembalut Berbahaya Yang Mengandung Zat Pemutih! http://mdk.to/0BGs-gab,,https://twitter.com/VemaleDotcom/status/675340535431741442,0
,,"MUI tidak pernah memberikan label halal pada asbak rokok.

Selengkapnya di https://bit.ly/35AAb1F #LawanHoax",,https://twitter.com/TurnBackHoax/status/1406144529724416000?s=20,0
teh hijau,mengkonsumsi teh hijau bisa cegah kanker,"Teh Hijau Bisa Cegah Kanker, Benarkah?: Sejak beberapa tahun terakhir, teh hijau primadona minuman sehat. Sela... http://bit.ly/1m5pGo6",,https://twitter.com/Resep_Kuliner/status/470126422552375296,1
Bawang putih,bawang putih cegah corona,Kosumsi Bawang Putih dan Jahe Bisa Cegah Virus Corona?,,https://twitter.com/jambiseru/status/1242507384834215936,1
Boba,Boba dapat menyumbat usus,Aku worried boba itu akan menyumbat di dada aku sehingga aku tida bisa bernafas seperti yg di beritakan di media sosyal itu. insecureLoudly crying face,,https://twitter.com/weevava20/status/1197392110288113664,1
Swab,Alat swab antigen bekas,"Bansos dikorupsi, Swab bekas, Vaksin dicuri dan lain sebagainya. INDONESIA",,https://twitter.com/dodikID/status/1416712905509130241,1
Badak putih ,badak putih utara resmi punah,"Sang badak bertahan dr hantaman gempa bumi, hujan meteor, dn musibah alam lain nya, tapi... Tidak bisa bertahan oleh KEGANASAN DN KERASKUSAN TAMAK NYA MANUSIA. Bertahan 55 Juta Tahun, Badak Putih Utara Resmi Punah",,https://twitter.com/Pranjaya2/status/1402883952617037828?s=20,1
Kerupuk,kerupuk bisa bikin gemuk,Ngemilin kerupuk ajadeh yg gak bisa bikin gemuk wkwkwk,,https://twitter.com/Kshanii_/status/467202887680921600,1
ayu ting-ting,petisi ayu ting-ting,"Sebelumnya heboh petisi Blacklist Ayu Ting Ting dari Pertelevisian yang mendapat dukungan hingga puluhan ribu pendukung. #userstory
",,https://twitter.com/kumparan/status/1422834847333044224,0
,,"Wanita ini Mengaku Dihamili Ikan, Pas Diperiksa Dokter Spesialis Trnyata Kista http://dlvr.it/RMVZwY",,https://twitter.com/_inc0020/status/1214060428822601728?s=20,0
Foto,Foto bertiga yang tengah paling cepat mati,Emang kenapa foto bertiga? Yg tengah bakal mati? Yang kanan kiri emang bisa abadi?,,https://twitter.com/lidhamaul/status/1372193538503438337,1
Odol,Odol dapat mneyembuhkan jerawat,"Tp odol yg kluar dgn digosok, bukan dipencet RT""
@yudi_114
: Menyembuhkan Jerawat Dengan Cepat Memakai Odol""",,https://twitter.com/Wira_putra116/status/276769298041683968,1
,,"Air keran dites positif Covid-19? ❌

Alat tes Covid-19 tidak diperuntukkan untuk penggunaan dengan air dan cairan lainnya, kata perusahaan pembuatnya.",,https://twitter.com/AFPperiksafakta/status/1414844821592842241?s=19,0
pembalut,pembalut mengandung pemutih berbahaya,"Selain itu, pembalut sekali pakai juga ada yg mengandung zat2 berbahaya yg bisa bikin kanker serviks, misal pemutih. Fyi, jumlah kasus kanker serviks di Indonesia ada di peringkat 2 dunia loh :(",,https://twitter.com/indiratendi/status/1004439353395896320,1
garam,garam beracun,"GARAM TIDAK BOLEH DIMASAK! Kesilapan kita (kebanyakan orang Melayu) ialah kita memasak garam iaitu memasukkan garam kedalam masakan ketika minyak sedang MENDIDIH/PANAS. Ia akan menyebabkan garam menjadi racun/toksik. Garam, bahasa saintifiknya adalah sodium.",,https://twitter.com/liasensia/status/986307843904040960?s=20,1
Kedondong,Manfaat buah kedondong,Manfaat Buah Kedondong Untuk Obat Awet Muda: http://yobuah.blogspot.co.id/2017/07/manfaat-buah-kedondong-untuk-obat-awet.html,,https://twitter.com/adityajepe/status/895919741113475073,1
aerator,membuat oksigen menggunakan aerator,"HOAX
Video “Membuat oksigen dengan aerator akuarium”

FAKTANYA
Kepala Balai Pengembangan Instrumentasi di LIPI, Anto Tri Sugiarto, menjelaskan, alat tersebut tidak akan dapat menambah jumlah oksigen yang dihirup. Pompa aerator, hanya membantu mengirim udara ke saluran pernapasan.",,https://twitter.com/RayMax_99/status/1411924861283233792,0
internet,internet gratis,Hati-hati hoax beredar di WhatsApp yang isinya koneksi internet gratis 20GB. Ini penjelasan Ahli Digital Forensik Ruby Alamsyah bahaya mengklik tautan tersebut.,,https://twitter.com/detikinet/status/1240650088717914114,0
Kerupuk,kerupuk bisa bikin gemuk,"Bisa Bikin Gemuk, Ada Berapa Kalori dalam 100 Gram Kerupuk? http://detik.id/6uTVWb via @detikHealth",,https://twitter.com/detikcom/status/1052910122358398976,0
bunga kenop,manfaat bunga kenop,"3. Bunga kenop cocok digunakan sebagai obat herbal untuk mencegah timbulnya penyakit dalam tubuh.Bukan hanya bunga bulatnya,hampir semua bagian tanaman mulai dari daun,akar,dan batang tanaman bisa menjadi ramuan obat.Manfaat bunga kenop di antaranya adalah,melawan sel-sel kanker,",,https://twitter.com/sobatbudaya/status/1379784863469821960,0
Kelapa,Manfaat air kelapa,"Boleh dicoba ne....
8 Manfaat Rutin Minum Air Kelapa Hijau Campur Madu, Khasiatnya Bikin Kaget #kelapahijau via 
@jpnncom",,https://twitter.com/ikofurqonmas/status/1407028114639572992,1
makan,makan malam berbahaya,Makan malam berbahaya (at Depot Lumintu) — https://path.com/p/r2ih3,,https://twitter.com/gheanisaa/status/721712414228504580,1
Minum,Minum kopi bikin mata melek,"Serius, lama gak minum kopi bikin mata awet melek sekalinya minum plisss ini udh jam… https://instagram.com/p/BQ_IbwOhUwp/",,https://twitter.com/tehasumarto/status/835933562884890624,1
,,Benar gak sih dong SARI ROTI ganti nama jd GARMELIA..?,,https://twitter.com/ziba_tajul/status/819083312916332544,1
skripsi,skripsi dihapus,"Gara-gara Corona, Belasan Ribu Teken Petisi Skripsi Dihapus",,https://twitter.com/CNNIndonesia/status/1243935136229388291,0
Kedondong,Manfaat buah kedondong,""" Manfaat Buah Kedondong (lumayan Gan bisa bikin senyum simpul) http://bit.ly/sOU5kl",,https://twitter.com/BeritaIndonesie/status/133211364360593408,1
razia masker,denda razia masker ,"Pemerintah Razia Masker, Yang melanggar Denda 250 Ribu Atau Sanksi Sosial http://dlvr.it/RcGWpb",,https://twitter.com/KompasTV/status/1286586060126826496?s=20,1
beras,beras mengandung pemutih,"Hasil sidak BPPOM dipasar = Mie,ikan teri&tahu mengandung formalin,Beras mengandung pemutih pakaian,Kolangkaling mengandung  pengawet",,https://twitter.com/fiethfitriana/status/357724969599385600,1
sayap dan ceker,sayap dan ceker ayam menyebabkan kanker,baru tau kalau konsumsi sayap dan ceker ayam terlalu banyak bisa menyebabkan kanker rahim o_O,,https://twitter.com/IRNAKJY/status/463935082240040960?s=20,1
,,"BAHAYA BOREHKAN BAWANG MERAH UNTUK BAYI

Dalam beberapa hal, orangtua masih yakin dengan mitos yang dapat... http://fb.me/3lCzom4dc",,https://twitter.com/womags/status/524861873171480576,1
pare,air pare membunuh sel kanker,"Petani Desa Air Duren Panen Sayuran Pare, Tumbuhan Ini Dipercaya Membunuh Sel Kanker - Pos Belitung http://dlvr.it/Qy3S2B",,https://twitter.com/boenda_raja/status/1091790629879697408?s=20,1
,,85% orang yg bilang mandi malam  menyebabkan reumatik adalah orang yg malas mandi.. 15% sisanya tidak pernah mandi.,,https://twitter.com/arezaap/status/349536635291058178,1
bisa,bisa cobra mematikan ,"Mulutnya kaya bisa ular cobra,mematikan !!",,https://twitter.com/PinkaSari/status/291008079259123712,1
Covid 20,Covid 19 disebarkan melalui gigitan nyamuk,CEK FAKTA: Hoaks Gigitan Nyamuk Bisa Tularkan Covid-19 ke Manusia: WHO melalui situs resminya juga menjelakan Covid-19 tidak dapat menyebar melalui gigitan nyamuk. http://dlvr.it/RfW5LK,,https://twitter.com/merdekadotcom/status/1299270379651784704,0
perdaganan manusia,daging manusia diperjual belikan,"Idih, Ada Toko Menjual Potongan Tubuh Manusia!: Sungguh mengerikan, sebuah toko daging di Inggris menjual potong... http://bit.ly/RYZUU8",,https://twitter.com/arini_ng/status/262375335465734144?s=20,1
bunga pisang,manfaat bunga pisang,#TuitPalembang Ini 8 Manfaat Tersembunyi dari Bunga Pisang yang Mungkin Belum Anda Ketahui #Palembang #Tuit,,https://twitter.com/TuitPalembang/status/809661438352461824,1
kencur,manfaat kencur,"Lebih bagus bau kencur, manfaat untuk orang lain,  dari pada bau tanah kaya elu Ruhut.",,https://twitter.com/patola_din/status/1373142463787888642,1
,,"Kalo lauknya banyak MSG nya iya mas..MSG bikin daya ingat kurang juga :( RT 
@adhitiasofyan
: Apa kebanyakan karbohidrat itu bikin otak lemot?",,https://twitter.com/amdmw/status/11929759043,1
