tweet,label
Nyalain matahari buatan china,1
"Jajanan Lays, Cheetos dan Doritos di Indonesia Berhenti Produksi Mulai Agustus 2021 https://ift.tt/3u8Kpl4",1
Konspirasi bumi datar,1
Untuk itu siang ini mimin mau bahas tentang manfaat kuaci bagi kesehatan Wajah tersenyum dengan mata tersenyum#IM3OoredooSumatera #IM3OoredooJBI #UnlimitedYoutube,1
"PT Indofarma (Persero) Tbk sedang mempersiapkan produksi massal obat infeksi cacing Ivermectin sebagai obat terapi pencegahan dan penyembuhan pasien Covid-19. Bahan baku obat dari India telah dipesan untuk pembuatan 4,5 juta tablet Ivermectin… https://koran.tempo.co/read/berita-utama/465934/rencana-indofarma-memproduksi-obat-terapi-covid-19-setelah-mengimpor-bahan-baku-ivermectin?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit… #KoranTempo",0
RT @VIVA_log :: Telapak Tangan Berkeringat Tanda Lemah Jantung? http://dlvr.it/7B3KTD,0
"Awas, Headset Berbahaya untuk Telinga dan Otak Manusia http://bit.ly/1Onr57v",1
Khasiat Teh Hijau untuk Wajah dan Rambut: Teh hijau juga bermanfaat untuk merawat kecantikan alami. Anda bisa membuat masker teh untuk...,1
"Beberapa poin krusial dalam UU Ciptaker tentang sertifikasi halal dan auditor halal yang dihapus, sangat mempertaruhkan kehalalan produk. Terlebih lagi peran MUI yang direduksi oleh pemerintah. Begitulah jika negara berlandaskan pada #kapitalisme https://facebook.com/646175532097434/posts/3311345658913728/",1
"Asap virus(chemtrail),tebar penyakit lagi..penyakit..lagi..hmm",1
air mani masuk pori pori di kolam renang bisa menyebabkan hamil,1
Gajah berkaki lima yang ingin melakukan adegan dewasa tetapi sang pasangan malu karna dilihat oleh banyak… [vid] — https://path.com/p/23NeM1,1
"New post in LawanHoaks: [DISINFORMASI] Sertifikasi Halal Dipegang PT Surveyor Indonesia Bukan Lagi MUI

https://ift.tt/3b2iVGv",0
Konsumsi Minyak Kelapa Setiap Pagi Tingkatkan Kesehatan Otak MINYAK kelapa tidak cuma ampuh menghaluskan kulit... http://fb.me/5HKiPLECV,1
Air Tajin Juga Bermanfaat Untuk Orang Dewasa Lho http://dlvr.it/L91vCc #sidomi,1
Ekstrak kulit manggis mengandung banyak manfaat bagi tubuh apalagi dikonsumsi saat sahru #SahurKawaii,1
"Wajah berteriak ketakutan menghambat pencernaan
Duhduh parah banget ya dampaknya, salah satunya ini nih, dampak makan mie instan keseringan salah satunya menghambat pencernaan, dikarenakan nutrisi yang akan masuk menjadi terhambat dan jadinya pencernaan menjadi terganggu",0
"Benarkah Suara Azan Dapat Melemahkan Virus Covid? https://kaskus.co.id/thread/60efe5d42fbe133152043ca1/benarkah-suara-azan-dapat-melemahkan-virus-covid/?utm_source=twitter&utm_medium=social&utm_content=&utm_campaign=organic-share
 #ForumKaskus",1
Mata Anak Ini Mendadak Juling Akibat Main Game di Ponsel 10 Jam Tiap Hari https://health.detik.com/true-story/d-4674143/mata-anak-ini-mendadak-juling-akibat-main-game-di-ponsel-10-jam-tiap-hari?utm_content=detikhealth&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Facebook#Echobox=1566357415,1
